Period_1,Ionic valence_1,Ionic radius_1,Covalent radius_1,Atomic weight_1,Density_1,Melting point_1,Boiling point_1,Heat of fusion_1,Heat of vaporization_1,thermal conductivity_1,Ionization Energy I_1,Ionization Energy II_1,electronegativity_1,Dopant_1/Ti mole ratio,Dopant_2/Ti mole ratio,Calcination Temperature ,Calcination Time,Weight Percent of Cocatalyst_1,Weight Percent of Cocatalyst_2,Catalyst concentration,Percent of Sacrificial reagents,Power of Light,Wavelength,Structure_Film,Structure_HC,Structure_HP,Structure_HS,Structure_MP,Structure_NPs,Structure_NRs,Structure_NS,Structure_NT,Structure_NTs,Structure_macro,Structure_sphere,Classification_1_Alkali Metal,Classification_1_Halogen,Classification_1_Non-metal,Classification_1_None,Classification_1_Other Metals,Classification_1_Rare Earth,Classification_1_Transition Metal,Dopant_2_Cu,Dopant_2_Eu,Dopant_2_N,Dopant_2_Ni,Dopant_2_None,Preparation Methods_ALD,Preparation Methods_CP,Preparation Methods_CR,Preparation Methods_EISA,Preparation Methods_HC,Preparation Methods_HT,Preparation Methods_HT  ,Preparation Methods_ILHM,Preparation Methods_IM,Preparation Methods_ME,Preparation Methods_MS,Preparation Methods_MW,Preparation Methods_None,Preparation Methods_PP,Preparation Methods_Pol,Preparation Methods_Pol ,Preparation Methods_SA,Preparation Methods_SG,Preparation Methods_ST,Preparation Methods_TP,Preparation Methods_UVLD,Preparation Methods_VD,Cocatalyst_1_Ag,Cocatalyst_1_Au,Cocatalyst_1_Co,Cocatalyst_1_Cu,Cocatalyst_1_Ni,Cocatalyst_1_None,Cocatalyst_1_Pd,Cocatalyst_1_Pt,Cocatalyst_1_Rh,Cocatalyst_1_Ru,Cocatalyst_2_Cds,Cocatalyst_2_Cu,Cocatalyst_2_Ni,Cocatalyst_2_None,Cocatalyst_2_Pd,Cocatalyst Loading Methods_APD,Cocatalyst Loading Methods_CR,Cocatalyst Loading Methods_DP,Cocatalyst Loading Methods_GD,Cocatalyst Loading Methods_IM,Cocatalyst Loading Methods_None,Cocatalyst Loading Methods_PCD,Cocatalyst Loading Methods_PD,Cocatalyst Loading Methods_PD ,Sacrificial Agents_EA,Sacrificial Agents_EG,Sacrificial Agents_Gly,Sacrificial Agents_IPA,Sacrificial Agents_MeOH,Sacrificial Agents_Na2SNa2SO10,Sacrificial Agents_Na2SNa2SO11,Sacrificial Agents_Na2SNa2SO12,Sacrificial Agents_Na2SNa2SO13,Sacrificial Agents_Na2SNa2SO14,Sacrificial Agents_Na2SNa2SO15,Sacrificial Agents_Na2SNa2SO3,Sacrificial Agents_Na2SNa2SO4,Sacrificial Agents_Na2SNa2SO5,Sacrificial Agents_Na2SNa2SO6,Sacrificial Agents_Na2SNa2SO7,Sacrificial Agents_Na2SNa2SO8,Sacrificial Agents_Na2SNa2SO9,Sacrificial Agents_Na2SO3,Sacrificial Agents_None,Sacrificial Agents_PG,Sacrificial Agents_TB,Sacrificial Agents_TEA,Light types_Hg,Light types_Hg ,Light types_Hg-Xe,Light types_Hg-Xe ,Light types_NS,Light types_None,Light types_SS,Light types_UV,Light types_UV ,Light types_Xe,Light types_Xe ,Light types_fluorescent,Light types_halogen ,Light types_mercury,Light types_mercury ,Hydrogen production rate
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,800,3,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,700,3,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,500,3,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,400,3,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,300,3,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,10,10,150,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154.6
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,800,0,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.3
2,-3,146,71,14,0.808,-210,-196,0.72,5.58,0.02598,1402,2856,3.04,0,0,300,0,0,0,10,10,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205.8
5,5,64,147,93,8.57,2468,4860,30,689.9,53.7,664,1382,1.6,0.01,0,450,2,0.5,0,0.5,30,500,550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200
5,5,64,147,93,8.57,2468,4860,30,689.9,53.7,664,1382,1.6,0.075,0,450,2,0.5,0,0.5,30,500,340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1720
