,Hydrogen production rate
0,19.0
1,33.0
2,38.0
3,52.0
4,78.0
5,154.6
6,87.3
7,205.8
8,1200.0
9,1720.0
10,2150.0
11,5140.0
12,5450.0
13,5610.0
14,6250.0
15,7860.0
16,15100.0
17,23400.0
18,29800.0
19,9800.0
20,17600.0
21,19600.0
22,1200.0
23,6.0
24,2700.0
25,27.0
26,2700.0
27,21000.0
28,26400.0
29,34700.0
30,44500.0
31,41100.0
32,47500.0
33,16200.0
34,17000.0
35,25400.0
36,31300.0
37,30800.0
38,32400.0
39,4300.0
40,5500.0
41,70.0
42,3050.0
43,300.0
44,500.0
45,700.0
46,700.0
47,700.0
48,1200.0
49,1600.0
50,1950.0
51,2000.0
52,3050.0
53,18200.0
54,21900.0
55,27100.0
56,10000.0
57,17400.0
58,20600.0
59,6400.0
60,130.0
61,600.0
62,825.0
63,1100.0
64,1175.0
65,3200.0
66,3960.0
67,4250.0
68,4300.0
69,4600.0
70,680.0
71,3000.0
72,4200.0
73,5700.0
74,7100.0
75,7600.0
76,7600.0
77,8000.0
78,9500.0
79,300.0
80,500.0
81,1200.0
82,2500.0
83,3300.0
84,13500.0
85,15300.0
86,91.67
87,74.0
88,63.4
89,56.6
90,3300.0
91,7000.0
92,15500.0
93,22500.0
94,793.86
95,173.51
96,269.65
97,349.83
98,399.96
99,336.27
100,476.06
101,512.35
102,515.45
103,468.0
104,720.0
105,828.0
106,6300.0
107,31320.0
108,43920.0
109,720.0
110,1560.0
111,750.0
112,2660.0
113,9931.0
114,1251.0
115,983.0
116,795.0
117,4108.0
118,11963.0
119,13143.0
120,23496.0
121,51.0
122,78.0
123,188.0
124,470.0
125,5.0
126,11.5
127,44.5
128,74.5
129,265.0
130,280.0
131,290.0
132,385.0
133,507.0
134,510.0
135,510.0
136,570.0
137,800.0
138,271.2
139,318.2
140,401.6
141,789.5
142,1450.0
143,1530.0
144,1900.0
145,2941.0
146,4708.0
147,190.0
148,210.0
149,275.0
150,350.0
151,514.0
152,300.0
153,200.0
154,280.0
155,145.0
156,163.0
157,280.0
158,333.0
159,377.0
160,382.0
161,600.0
162,1400.0
163,1500.0
164,1900.0
165,2500.0
166,2850.0
167,3000.0
168,3100.0
169,3150.0
170,3400.0
171,3530.0
172,3800.0
173,3900.0
174,4000.0
175,4120.0
176,4400.0
177,5700.0
178,820.0
179,14500.0
180,8.5
181,100.0
182,120.0
183,170.0
184,175.0
185,220.0
186,300.0
187,2214.0
188,3012.0
189,3900.0
190,5234.0
191,6000.0
192,8045.0
193,8700.0
194,8900.0
195,9300.0
196,9700.0
197,9851.0
198,10400.0
199,11021.0
200,26.0
201,110.0
202,250.0
203,300.0
204,415.0
205,580.0
206,1180.0
207,1400.0
208,1750.0
209,560.0
210,10000.0
211,601.0
212,354.0
213,382.0
214,411.0
215,0.4
216,0.67
217,1.75
218,3.0
219,22.5
220,13.0
221,12.2
222,207.0
223,258.0
224,347.0
225,403.0
226,462.0
227,80.0
228,98.0
229,100.0
230,118.0
231,128.0
232,130.0
233,142.0
234,167.0
235,182.0
236,16.0
237,36.0
238,50.0
239,60.0
240,80.0
241,85.0
242,92.0
243,104.0
244,117.0
245,180.0
246,240.0
247,10.0
248,10.5
249,12.5
250,16.2
251,17.5
252,23.0
253,110.0
254,440.0
255,600.0
256,615.0
257,680.0
258,710.0
259,800.0
260,850.0
261,855.0
262,855.0
263,860.0
264,1080.0
265,9.4
266,9.7
267,11.8
268,15.5
269,17.0
270,22.0
271,100.0
272,400.0
273,550.0
274,590.0
275,625.0
276,740.0
277,770.0
278,800.0
279,800.0
280,806.0
281,810.0
282,1000.0
283,126.0
284,313.0
285,506.0
286,1615.0
287,13000.0
288,208.5
289,237.5
290,257.5
291,262.5
292,307.5
293,17.0
294,36.0
295,370.0
296,380.0
297,730.0
298,770.0
299,1000.0
300,1200.0
301,1500.0
302,1850.0
303,300.0
304,800.0
305,1000.0
306,1376.0
307,1534.0
308,1736.0
309,1778.0
310,310.0
311,249.58
312,348.17
313,361.64
314,220.59
315,182.3
316,221.0
317,175.0
318,146.3
319,178.0
320,205.24
321,213.75
322,248.2
323,248.2
324,253.75
325,1.5
326,1.2
327,840.0
328,1200.0
329,900.0
330,972.0
331,1200.0
332,1460.0
333,1530.0
334,1764.0
335,1800.0
336,2000.0
337,2200.0
338,2340.0
339,2460.0
340,1436.0
341,5441.0
342,6193.0
343,19442.0
344,2680.0
345,1881.8
346,240.0
347,240.0
348,380.0
349,700.0
350,730.0
351,760.0
352,1000.0
353,1980.0
354,2980.0
355,289.0
356,933.0
357,1092.0
358,28.0
359,43.33
360,63.33
361,83.33
362,96.67
363,96.67
364,106.67
365,123.33
366,126.67
367,156.67
368,176.67
369,180.0
370,183.33
371,186.67
372,196.67
373,280.0
374,293.33
375,353.33
376,380.0
377,616.67
378,20.0
379,7270.0
380,100.0
381,200.0
382,600.0
383,750.0
384,3000.0
385,3200.0
386,3900.0
387,4600.0
388,2680.0
389,4200.0
390,17900.0
391,19500.0
392,24000.0
