Dopant,Period,Classification,Ionic valence,Ionic radius,Covalent radius,Atomic weight,Density,Melting point,Boiling point,Heat of fusion,Heat of vaporization,Thermal conductivity,Ionization Energy I,Ionization Energy II,Electronegativity,Dopant/Ti mole ratio,Calcination Temperature ,Calcination Time,Cocatalyst,Weight Percent of Cocatalyst,Catalyst concentration,Sacrificial Agents,Percent of Sacrificial reagents,Wavelength,Hydrogen production rate
C,2,Non-metal,-4,260.0,75,12.0,2.26,3550.0,4827.0,117.0,0.0,155.0,1086,2353,2.55,0.002,500,4.0,none,0.0,0.25,MeOH,10.0,600,1.2
C,2,Non-metal,-4,260.0,75,12.0,2.26,3550.0,4827.0,117.0,0.0,155.0,1086,2353,2.55,0.002,500,4.0,none,0.0,0.25,MeOH,10.0,600,1.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.004,500,5.0,none,0.0,1.29,MeOH,25.8,600,5.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,0.55,0.5,MeOH,30.0,550,6.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0303,800,0.0,Pt,1.5,3.85,EA,3.85,365,8.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0027,400,5.0,none,0.0,2.0,none,0.0,500,8.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.024,700,0.0,Pt,1.5,3.85,EA,3.85,365,10.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0303,700,0.0,Pt,1.5,3.85,EA,3.85,365,10.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0178,800,0.0,Pt,1.5,3.85,EA,3.85,365,11.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.024,800,0.0,Pt,1.5,3.85,EA,3.85,365,11.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.006,500,5.0,none,0.0,1.29,MeOH,25.8,600,11.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.06,500,4.0,none,0.0,2.0,MeOH,20.0,585,12.2
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0058,700,0.0,Pt,1.5,3.85,EA,3.85,365,12.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0088,700,0.0,Pt,1.5,3.85,EA,3.85,365,12.5
In,5, Other Metals,3,80.0,142,114.8,7.31,156.6,2072.0,3.28,231.8,81.6,558,1821,1.78,0.0085,500,4.0,none,0.0,2.0,MeOH,20.0,585,13.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,1.0,Au,1.0,1.0,MeOH,30.0,254,13.799999999999999
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0058,800,0.0,Pt,1.5,3.85,EA,3.85,365,16.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0178,700,0.0,Pt,1.5,3.85,EA,3.85,365,16.0
Ce,6, Rare Earth,3,102.0,163,140.1,6.77,795.0,3440.0,5.46,398.0,11.4,528,1047,1.12,0.006,400,0.0,none,0.0,1.35,MeOH,5.4,585,17.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,800,3.0,Au,0.0,10.0,MeOH,10.0,500,19.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,500,3.0,Rh,1.0,1.0,MeOH,8.0,600,20.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0,450,3.0,none,0.0,0.3,MeOH,10.0,500,26.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,1.0,0.5,MeOH,30.0,340,27.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,EA,5.0,585,27.058823529411764
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,626,28.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0088,800,0.0,Pt,1.5,3.85,EA,3.85,365,32.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,700,3.0,Au,0.0,10.0,MeOH,10.0,500,33.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,0.0,none,0.0,1.35,MeOH,5.4,585,36.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,500,3.0,Au,0.0,10.0,MeOH,10.0,500,38.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,500,2.0,Pt,0.2,2.0,MeOH,25.0,500,39.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.124,700,4.0,Pt,3.0,0.2,none,0.0,500,43.333333333333336
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.012,500,5.0,none,0.0,1.29,MeOH,25.8,600,44.5
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.05,none,0.0,254,51.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,3.0,Au,0.0,10.0,MeOH,10.0,500,52.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.06,500,4.0,Pd,2.0,2.0,MeOH,20.0,585,56.6
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,585,63.333333333333336
In,5, Other Metals,3,80.0,142,114.8,7.31,156.6,2072.0,3.28,231.8,81.6,558,1821,1.78,0.0085,500,4.0,Pd,2.0,2.0,MeOH,20.0,585,63.4
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.0,0.5,MeOH,30.0,550,70.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0117,800,0.0,Pt,1.5,3.85,EA,3.85,365,72.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.01,500,5.0,none,0.0,1.29,MeOH,25.8,600,74.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,300,3.0,Au,0.0,10.0,MeOH,10.0,500,78.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.015,none,0.0,254,78.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,Na2SO3,0.0,500,78.43137254901961
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.232,700,4.0,Pt,3.0,0.2,none,0.0,500,83.33333333333334
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,800,0.0,Pt,0.0,10.0,MeOH,10.0,500,87.3
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,5.0,Au,0.2,1.67,MeOH,20.0,500,88.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.52,700,4.0,Pt,3.0,0.2,none,0.0,500,96.66666666666667
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,626,96.66666666666667
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0148,800,0.0,Pt,1.5,3.85,EA,3.85,365,98.49999999999999
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,1.0,0.5,MeOH,30.0,550,100.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0678,400,5.0,none,0.0,2.0,none,0.0,500,100.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.232,400,4.0,Pt,3.0,0.2,none,0.0,500,106.66666666666667
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.00625,450,3.0,none,0.0,0.3,MeOH,10.0,500,110.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0068,400,5.0,none,0.0,2.0,none,0.0,500,120.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,700,4.0,Pt,3.0,0.2,none,0.0,500,123.33333333333334
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,2.0,Pt,0.2,2.0,MeOH,25.0,500,125.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,522,126.66666666666667
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.002,400,1.0,none,0.0,1.0,EA,25.0,500,145.0
Ni,4,Transition Metal,2,69.0,110,58.7,8.91,1453.0,2884.0,17.48,377.5,90.7,737,1753,1.91,0.045,500,0.5,none,0.0,0.67,none,0.0,590,146.3
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300,0.0,Pt,0.0,10.0,MeOH,10.0,500,154.6
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,585,156.66666666666669
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.004,400,1.0,none,0.0,1.0,EA,25.0,500,163.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0407,400,5.0,none,0.0,2.0,none,0.0,500,170.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,5.0,Pd,0.2,1.67,MeOH,20.0,500,170.1
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,0.5,Ag,6.0,0.67,EA,10.0,254,173.51
